Customer ID,Recency,Frequency,Monetary,Cluster,Segment,Churn
12348,74,5,2019.4,5,At risk,1
12369,412,3,1791.15,5,At risk,1
12379,81,4,1620.22,5,At risk,1
12381,4,5,1845.31,5,At risk,1
12383,184,5,1850.56,5,At risk,1
12385,378,1,1938.4,5,At risk,1
12389,402,3,1433.33,5,At risk,1
12398,45,1,1635.66,5,At risk,1
12399,118,7,1962.3,5,At risk,1
12405,148,1,1710.39,5,At risk,1
12407,49,5,1708.12,5,At risk,1
12418,112,4,2021.2,5,At risk,1
12425,77,2,1741.41,5,At risk,1
12458,70,4,1777.49,5,At risk,1
12494,15,9,1815.27,5,At risk,1
12501,336,1,2169.39,5,At risk,1
12507,133,4,1844.06,5,At risk,1
12514,266,2,1597.76,5,At risk,1
12518,0,5,2056.89,5,At risk,1
12528,8,6,1933.48,5,At risk,1
12531,14,2,1933.2,5,At risk,1
12549,575,6,1575.68,5,At risk,1
12560,4,3,2134.01,5,At risk,1
12576,35,8,2142.72,5,At risk,1
12577,34,8,1617.1,5,At risk,1
12582,238,4,1980.4,5,At risk,1
12584,3,9,2338.15,5,At risk,1
12585,233,2,2040.1,5,At risk,1
12586,16,4,2062.67,5,At risk,1
12607,59,1,1579.51,5,At risk,1
12610,22,5,2099.54,5,At risk,1
12629,385,2,1558.22,5,At risk,1
12644,129,4,1918.49,5,At risk,1
12649,106,8,2294.65,5,At risk,1
12657,10,4,1643.18,5,At risk,1
12674,38,4,1970.6,5,At risk,1
12684,7,7,2283.63,5,At risk,1
12687,480,2,2138.91,5,At risk,1
12693,126,7,1703.02,5,At risk,1
12694,69,3,1843.35,5,At risk,1
12695,6,7,1407.12,5,At risk,1
12704,6,8,2340.84,5,At risk,1
12724,4,7,2317.52,5,At risk,1
12725,370,4,2266.76,5,At risk,1
12762,7,2,1898.52,5,At risk,1
12764,316,1,1693.88,5,At risk,1
12775,16,7,1686.12,5,At risk,1
12778,19,9,1775.68,5,At risk,1
12783,1,6,2225.91,5,At risk,1
12784,8,3,1763.15,5,At risk,1
12805,381,4,1434.95,5,At risk,1
12809,177,3,1755.94,5,At risk,1
12813,501,3,1687.8,5,At risk,1
12818,261,1,1542.08,5,At risk,1
12842,69,4,1917.99,5,At risk,1
12847,21,2,1609.0,5,At risk,1
12856,7,6,2170.78,5,At risk,1
12868,185,8,2043.76,5,At risk,1
12870,374,3,1676.95,5,At risk,1
12873,281,3,2027.3,5,At risk,1
12882,8,2,1463.04,5,At risk,1
12908,175,5,1776.0,5,At risk,1
12911,551,1,1651.72,5,At risk,1
12912,2,5,1662.3,5,At risk,1
12926,410,4,1523.97,5,At risk,1
12932,538,8,1698.56,5,At risk,1
12933,23,8,1636.63,5,At risk,1
12947,143,6,1603.99,5,At risk,1
12948,15,9,2317.43,5,At risk,1
12950,1,3,1843.0,5,At risk,1
12970,6,10,1453.6,5,At risk,1
12975,436,6,2100.09,5,At risk,1
12997,21,8,2110.91,5,At risk,1
13023,63,3,1449.03,5,At risk,1
13026,0,9,1733.08,5,At risk,1
13029,30,5,1927.3,5,At risk,1
13042,597,3,1488.59,5,At risk,1
13055,77,4,2321.11,5,At risk,1
13059,249,10,2291.77,5,At risk,1
13064,12,6,1666.84,5,At risk,1
13091,27,3,2321.82,5,At risk,1
13104,2,9,1709.1,5,At risk,1
13149,13,4,1676.06,5,At risk,1
13152,416,7,2146.38,5,At risk,1
13154,398,3,1624.84,5,At risk,1
13156,384,3,1586.54,5,At risk,1
13158,94,5,1508.18,5,At risk,1
13159,8,4,1429.35,5,At risk,1
13165,45,3,1451.16,5,At risk,1
13168,35,5,1840.73,5,At risk,1
13184,14,10,1668.95,5,At risk,1
13186,39,3,1575.89,5,At risk,1
13202,393,7,1580.3,5,At risk,1
13208,58,9,1976.3,5,At risk,1
13224,59,2,2155.95,5,At risk,1
13239,261,5,1594.69,5,At risk,1
13240,95,8,1475.79,5,At risk,1
13249,91,9,1608.93,5,At risk,1
13265,52,5,2092.66,5,At risk,1
13276,63,5,1891.91,5,At risk,1
13278,40,4,1435.85,5,At risk,1
13280,121,7,2293.33,5,At risk,1
13294,189,3,1689.53,5,At risk,1
13308,22,4,1670.37,5,At risk,1
13309,6,6,1706.37,5,At risk,1
13310,27,5,1541.2,5,At risk,1
13320,77,6,2211.6,5,At risk,1
13337,545,1,1575.26,5,At risk,1
13360,431,4,1553.65,5,At risk,1
13361,471,2,1450.5,5,At risk,1
13363,17,3,1723.86,5,At risk,1
13365,33,2,2225.37,5,At risk,1
13371,504,2,2297.66,5,At risk,1
13375,88,2,1792.23,5,At risk,1
