Customer ID,Recency,Frequency,Monetary,Cluster,Segment,Churn
12369,412,3,1791.15,5,At risk,1
12373,310,3,1127.65,5,At risk,1
12377,314,4,3426.32,5,At risk,1
12385,378,1,1938.4,5,At risk,1
12389,402,3,1433.33,5,At risk,1
12402,322,6,1256.9,5,At risk,1
12410,308,3,1013.71,5,At risk,1
12469,522,2,3070.54,5,At risk,1
12501,336,1,2169.39,5,At risk,1
12511,428,1,3084.02,5,At risk,1
12514,266,2,1597.76,5,At risk,1
12525,497,3,973.73,5,At risk,1
12549,575,6,1575.68,5,At risk,1
12573,226,5,717.41,5,At risk,1
12582,238,4,1980.4,5,At risk,1
12585,233,2,2040.1,5,At risk,1
12591,316,3,1338.95,5,At risk,1
12605,375,4,1232.95,5,At risk,1
12629,385,2,1558.22,5,At risk,1
12639,238,3,1312.37,5,At risk,1
12671,605,1,2622.481,5,At risk,1
12687,480,2,2138.91,5,At risk,1
12725,370,4,2266.76,5,At risk,1
12733,233,4,2424.87,5,At risk,1
12737,498,2,3710.5,5,At risk,1
12745,486,3,925.41,5,At risk,1
12754,235,3,3010.74,5,At risk,1
12765,471,6,1404.58,5,At risk,1
12770,210,2,3246.45,5,At risk,1
12785,363,3,1100.4,5,At risk,1
12791,373,6,863.51,5,At risk,1
12805,381,4,1434.95,5,At risk,1
12806,434,4,2878.96,5,At risk,1
12809,177,3,1755.94,5,At risk,1
12811,260,5,1033.9,5,At risk,1
12813,501,3,1687.8,5,At risk,1
12855,372,4,612.84,5,At risk,1
12866,282,3,1227.35,5,At risk,1
12870,374,3,1676.95,5,At risk,1
12873,281,3,2027.3,5,At risk,1
12926,410,4,1523.97,5,At risk,1
12932,538,8,1698.56,5,At risk,1
12960,413,4,1322.07,5,At risk,1
12967,357,3,2938.52,5,At risk,1
12972,413,4,1161.2,5,At risk,1
12975,436,6,2100.09,5,At risk,1
12978,384,5,2502.82,5,At risk,1
12998,492,3,920.08,5,At risk,1
13019,378,6,1229.95,5,At risk,1
13031,406,5,3292.84,5,At risk,1
13039,583,4,1010.73,5,At risk,1
13041,450,4,799.13,5,At risk,1
13042,597,3,1488.59,5,At risk,1
13065,372,5,1055.05,5,At risk,1
13074,510,4,1378.74,5,At risk,1
13135,196,2,3371.45,5,At risk,1
13151,295,3,2465.21,5,At risk,1
13152,416,7,2146.38,5,At risk,1
13154,398,3,1624.84,5,At risk,1
13156,384,3,1586.54,5,At risk,1
13201,501,4,1233.06,5,At risk,1
13202,393,7,1580.3,5,At risk,1
13205,442,1,2803.2,5,At risk,1
13239,261,5,1594.69,5,At risk,1
13288,442,5,927.61,5,At risk,1
13293,391,6,1192.94,5,At risk,1
13294,189,3,1689.53,5,At risk,1
13295,359,4,1101.97,5,At risk,1
13299,267,3,1218.7,5,At risk,1
13304,350,4,1217.99,5,At risk,1
13333,410,3,1015.74,5,At risk,1
13346,462,6,299.4,5,At risk,1
13360,431,4,1553.65,5,At risk,1
13361,471,2,1450.5,5,At risk,1
13368,256,4,1121.5,5,At risk,1
13371,504,2,2297.66,5,At risk,1
13377,396,2,1552.88,5,At risk,1
13382,280,5,1387.58,5,At risk,1
13393,583,4,1131.45,5,At risk,1
13407,578,3,2244.7,5,At risk,1
13413,639,6,429.44,5,At risk,1
13415,472,4,784.17,5,At risk,1
13433,500,4,658.3199999999999,5,At risk,1
13440,422,7,1295.25,5,At risk,1
13443,448,6,1273.16,5,At risk,1
13462,252,5,1153.85,5,At risk,1
13475,190,4,1431.78,5,At risk,1
13478,468,5,2215.78,5,At risk,1
13497,282,6,1166.83,5,At risk,1
13501,287,3,2885.11,5,At risk,1
13506,315,5,1338.08,5,At risk,1
13512,260,4,713.39,5,At risk,1
13554,379,7,1629.35,5,At risk,1
13567,427,4,1079.29,5,At risk,1
13613,452,5,1039.85,5,At risk,1
13641,640,5,1016.47,5,At risk,1
13648,399,8,1764.02,5,At risk,1
13649,256,6,1453.68,5,At risk,1
13665,385,3,1711.66,5,At risk,1
13693,373,9,2011.82,5,At risk,1
13696,421,3,2020.4,5,At risk,1
13740,240,5,1582.77,5,At risk,1
13753,287,4,2094.57,5,At risk,1
13770,421,4,785.37,5,At risk,1
13783,487,4,1542.09,5,At risk,1
13795,387,4,836.3,5,At risk,1
13797,436,3,1179.45,5,At risk,1
13800,309,3,1679.56,5,At risk,1
13803,254,3,1338.91,5,At risk,1
13819,301,6,2642.35,5,At risk,1
13855,500,4,1310.34,5,At risk,1
13857,392,6,1001.01,5,At risk,1
13863,247,4,1239.55,5,At risk,1
13874,357,7,2049.15,5,At risk,1
13916,463,4,1275.81,5,At risk,1
13920,431,4,1774.68,5,At risk,1
13921,401,4,730.7,5,At risk,1
13965,476,3,996.61,5,At risk,1
13976,206,4,1192.36,5,At risk,1
14061,506,3,917.43,5,At risk,1
14068,319,4,1516.72,5,At risk,1
14130,318,4,1858.77,5,At risk,1
14136,400,5,1570.81,5,At risk,1
14176,296,5,756.46,5,At risk,1
14182,443,4,678.77,5,At risk,1
14186,426,5,1550.63,5,At risk,1
14199,217,4,1091.7,5,At risk,1
14206,238,3,1185.01,5,At risk,1
14220,246,4,1515.0,5,At risk,1
14225,434,4,2031.07,5,At risk,1
14230,435,3,979.8,5,At risk,1
14245,219,2,1693.45,5,At risk,1
14247,277,5,753.56,5,At risk,1
14248,317,3,1032.95,5,At risk,1
14256,259,5,2460.79,5,At risk,1
14275,395,6,1189.38,5,At risk,1
14283,462,4,628.4399999999999,5,At risk,1
14304,222,3,1725.01,5,At risk,1
14316,421,5,1370.34,5,At risk,1
14343,420,4,1079.66,5,At risk,1
14370,450,6,1175.78,5,At risk,1
14399,393,8,2108.21,5,At risk,1
14413,361,4,764.52,5,At risk,1
14430,511,3,1220.9,5,At risk,1
14431,302,4,2614.2,5,At risk,1
14437,365,5,873.34,5,At risk,1
14454,375,5,977.3,5,At risk,1
14455,431,4,617.72,5,At risk,1
14469,415,4,2093.46,5,At risk,1
14478,381,4,1276.66,5,At risk,1
14479,253,4,1124.71,5,At risk,1
14489,206,4,1574.93,5,At risk,1
14492,429,7,1921.91,5,At risk,1
14496,311,7,2363.89,5,At risk,1
14510,375,3,979.85,5,At risk,1
14549,310,4,913.6,5,At risk,1
14564,434,2,2605.62,5,At risk,1
14605,373,4,921.56,5,At risk,1
14615,393,5,951.76,5,At risk,1
14616,242,5,527.78,5,At risk,1
14634,437,4,2124.46,5,At risk,1
14672,234,4,1113.14,5,At risk,1
14679,381,3,1289.44,5,At risk,1
14686,413,5,852.53,5,At risk,1
14695,518,3,1534.22,5,At risk,1
14734,425,4,1056.42,5,At risk,1
14746,405,4,593.5,5,At risk,1
14802,437,2,1502.98,5,At risk,1
14813,369,4,888.91,5,At risk,1
14821,366,7,1230.15,5,At risk,1
14831,679,3,1676.57,5,At risk,1
14850,311,7,1770.96,5,At risk,1
14870,261,6,1838.95,5,At risk,1
14909,436,3,1404.68,5,At risk,1
14920,212,3,1607.17,5,At risk,1
14933,443,4,1770.0,5,At risk,1
14935,296,2,2849.83,5,At risk,1
14938,561,2,2322.43,5,At risk,1
14942,401,4,746.56,5,At risk,1
14994,381,5,946.72,5,At risk,1
15003,472,6,1027.03,5,At risk,1
15013,487,10,1610.82,5,At risk,1
15064,409,4,1254.41,5,At risk,1
15077,494,2,2428.08,5,At risk,1
15100,333,7,2193.9,5,At risk,1
15141,457,7,1388.47,5,At risk,1
15151,422,2,2085.61,5,At risk,1
15160,356,4,589.27,5,At risk,1
15167,320,5,1627.62,5,At risk,1
15173,380,7,1494.6,5,At risk,1
15210,224,3,1176.19,5,At risk,1
15221,365,4,2062.2000000000003,5,At risk,1
15223,225,5,1417.95,5,At risk,1
15224,357,5,871.36,5,At risk,1
15248,410,3,1893.93,5,At risk,1
15259,512,4,1182.38,5,At risk,1
15266,337,5,852.21,5,At risk,1
15268,478,3,961.9,5,At risk,1
15279,354,5,1580.54,5,At risk,1
15303,289,3,1224.18,5,At risk,1
15326,333,5,1700.52,5,At risk,1
15347,365,4,1162.0,5,At risk,1
15359,662,8,181.35,5,At risk,1
15361,361,4,689.07,5,At risk,1
15377,382,4,1211.75,5,At risk,1
15420,433,6,743.0,5,At risk,1
15422,322,7,1619.97,5,At risk,1
15425,399,4,1941.12,5,At risk,1
15439,404,4,1269.05,5,At risk,1
15441,395,3,1254.21,5,At risk,1
15447,330,5,492.88,5,At risk,1
15476,379,4,2209.98,5,At risk,1
15481,400,1,1993.34,5,At risk,1
15538,537,6,3358.4,5,At risk,1
15580,376,8,1375.39,5,At risk,1
15590,381,5,1496.6,5,At risk,1
15600,427,4,1199.31,5,At risk,1
15614,437,4,3147.36,5,At risk,1
15629,449,4,2240.9,5,At risk,1
15638,378,6,2265.2,5,At risk,1
15649,335,4,1660.35,5,At risk,1
15695,266,4,1131.04,5,At risk,1
15715,555,5,658.02,5,At risk,1
15717,233,5,607.0,5,At risk,1
15723,364,4,930.7,5,At risk,1
15736,434,2,1767.12,5,At risk,1
15751,460,11,1380.44,5,At risk,1
15789,357,6,1962.01,5,At risk,1
15798,492,3,1535.37,5,At risk,1
15817,420,3,2766.4,5,At risk,1
15823,371,3,3882.17,5,At risk,1
15876,408,2,1449.14,5,At risk,1
15879,403,4,1137.8,5,At risk,1
15881,311,5,501.39,5,At risk,1
15887,406,3,1027.15,5,At risk,1
15890,394,5,535.65,5,At risk,1
15911,623,8,1700.24,5,At risk,1
15917,247,5,530.17,5,At risk,1
15934,417,2,2190.66,5,At risk,1
15944,276,4,2164.24,5,At risk,1
15945,364,4,646.27,5,At risk,1
15946,502,3,2304.18,5,At risk,1
15972,455,5,1769.33,5,At risk,1
16004,474,5,2146.39,5,At risk,1
16032,455,6,1965.72,5,At risk,1
16037,269,5,1509.34,5,At risk,1
16048,372,4,818.7900000000001,5,At risk,1
16065,364,8,1992.13,5,At risk,1
16067,562,3,3269.11,5,At risk,1
16077,625,1,2300.4,5,At risk,1
16087,388,5,1739.92,5,At risk,1
16096,263,4,1584.97,5,At risk,1
16105,248,5,2386.19,5,At risk,1
16118,652,1,4376.25,5,At risk,1
16124,316,4,1772.49,5,At risk,1
16129,406,3,1396.05,5,At risk,1
16130,421,4,987.48,5,At risk,1
16152,268,1,1829.04,5,At risk,1
16155,381,5,796.9,5,At risk,1
16158,521,9,628.32,5,At risk,1
16159,281,4,1232.79,5,At risk,1
16167,413,5,1386.12,5,At risk,1
16176,420,4,2052.69,5,At risk,1
16197,468,9,2016.71,5,At risk,1
16199,391,7,942.75,5,At risk,1
16231,378,4,1074.47,5,At risk,1
16254,377,3,967.44,5,At risk,1
16256,266,3,1629.37,5,At risk,1
16275,196,3,2151.11,5,At risk,1
16276,176,3,2629.3900000000003,5,At risk,1
16282,339,3,1307.58,5,At risk,1
16290,464,4,1957.7,5,At risk,1
16296,625,4,1313.67,5,At risk,1
16300,429,3,1367.32,5,At risk,1
16307,428,3,1194.92,5,At risk,1
16314,389,3,1491.4,5,At risk,1
16329,427,4,1664.92,5,At risk,1
16331,431,6,2037.7,5,At risk,1
16335,551,7,2753.52,5,At risk,1
16336,420,4,3517.69,5,At risk,1
16387,322,5,882.46,5,At risk,1
16391,400,4,1052.26,5,At risk,1
16435,511,3,1003.07,5,At risk,1
16461,177,3,1545.83,5,At risk,1
16467,508,7,2869.16,5,At risk,1
16471,274,4,1189.98,5,At risk,1
16510,371,6,1777.5,5,At risk,1
16521,414,3,1140.11,5,At risk,1
16565,363,4,773.05,5,At risk,1
16586,248,3,1462.78,5,At risk,1
16588,385,4,1361.28,5,At risk,1
16608,453,2,1286.62,5,At risk,1
16619,263,4,1938.33,5,At risk,1
16623,245,4,1015.24,5,At risk,1
16625,274,5,1654.03,5,At risk,1
16631,481,7,1892.52,5,At risk,1
16636,437,4,3802.04,5,At risk,1
16658,367,6,690.83,5,At risk,1
16661,539,4,932.76,5,At risk,1
16692,255,4,1914.7,5,At risk,1
16698,226,2,1998.0,5,At risk,1
16699,379,7,994.6,5,At risk,1
16702,414,4,1110.83,5,At risk,1
16714,218,4,1497.33,5,At risk,1
16716,266,3,2149.6800000000003,5,At risk,1
16718,368,5,3006.08,5,At risk,1
16727,363,4,1377.77,5,At risk,1
16736,505,5,2956.56,5,At risk,1
16749,590,2,4157.88,5,At risk,1
16769,259,4,1117.05,5,At risk,1
16772,422,3,3698.05,5,At risk,1
16787,397,4,1017.53,5,At risk,1
16792,281,5,623.46,5,At risk,1
16795,364,3,2062.41,5,At risk,1
16797,392,5,1802.02,5,At risk,1
16812,360,4,2392.0,5,At risk,1
16827,392,5,392.13,5,At risk,1
16838,196,4,1159.61,5,At risk,1
16854,416,2,1408.96,5,At risk,1
16860,452,3,1610.62,5,At risk,1
16894,501,3,1306.96,5,At risk,1
16917,276,2,1851.88,5,At risk,1
16926,370,5,1169.61,5,At risk,1
16946,382,5,1222.04,5,At risk,1
16947,235,5,955.21,5,At risk,1
16975,422,3,926.12,5,At risk,1
16980,254,3,1422.8300000000002,5,At risk,1
16993,463,2,1950.95,5,At risk,1
17003,401,4,828.21,5,At risk,1
17021,441,6,1182.22,5,At risk,1
17028,580,3,1593.83,5,At risk,1
17032,547,8,2984.32,5,At risk,1
17062,313,6,889.75,5,At risk,1
17113,573,6,2305.59,5,At risk,1
17127,428,5,1155.0300000000002,5,At risk,1
17137,415,6,1099.81,5,At risk,1
17141,417,4,727.58,5,At risk,1
17142,238,4,1275.25,5,At risk,1
17145,512,4,3120.91,5,At risk,1
17150,376,6,1357.95,5,At risk,1
17152,194,4,2016.5,5,At risk,1
17165,283,6,1794.32,5,At risk,1
17239,312,4,1189.45,5,At risk,1
17281,373,6,797.8499999999999,5,At risk,1
17308,392,2,4511.76,5,At risk,1
17322,375,5,922.59,5,At risk,1
17332,527,5,838.27,5,At risk,1
17342,379,4,1227.54,5,At risk,1
17343,354,6,1259.94,5,At risk,1
17356,311,5,946.47,5,At risk,1
17358,302,5,861.01,5,At risk,1
17421,385,3,1059.41,5,At risk,1
17438,253,5,1422.77,5,At risk,1
17465,425,7,2542.79,5,At risk,1
17492,247,3,1122.42,5,At risk,1
17496,358,4,1412.89,5,At risk,1
17525,359,3,1161.9,5,At risk,1
17539,617,4,1176.84,5,At risk,1
17544,389,3,944.82,5,At risk,1
17580,252,5,541.02,5,At risk,1
17582,235,5,1446.95,5,At risk,1
17610,539,5,1511.94,5,At risk,1
17635,423,3,1265.58,5,At risk,1
17639,275,6,615.17,5,At risk,1
17681,596,5,731.2,5,At risk,1
17691,357,4,637.5500000000001,5,At risk,1
17713,381,4,1198.09,5,At risk,1
17714,320,5,1410.18,5,At risk,1
17726,394,7,1092.06,5,At risk,1
17732,372,8,2166.42,5,At risk,1
17740,388,6,426.9,5,At risk,1
17746,239,4,904.18,5,At risk,1
17814,374,2,1609.37,5,At risk,1
17822,419,5,2162.93,5,At risk,1
17851,421,6,1552.35,5,At risk,1
17853,406,3,1596.29,5,At risk,1
17860,368,4,717.39,5,At risk,1
17862,323,4,1254.89,5,At risk,1
17876,399,3,3424.02,5,At risk,1
17908,373,5,1142.47,5,At risk,1
17912,309,6,374.55,5,At risk,1
17952,377,4,788.46,5,At risk,1
17963,470,4,643.16,5,At risk,1
17968,373,4,590.4399999999999,5,At risk,1
17978,364,4,1159.99,5,At risk,1
18025,379,6,1177.72,5,At risk,1
18026,500,2,2074.07,5,At risk,1
18051,633,7,2282.28,5,At risk,1
18057,392,3,1188.46,5,At risk,1
18071,257,6,1169.68,5,At risk,1
18085,329,4,1341.85,5,At risk,1
18095,312,5,2303.09,5,At risk,1
18106,329,6,1441.06,5,At risk,1
18202,199,3,1396.99,5,At risk,1
18214,530,4,1780.34,5,At risk,1
18218,210,4,1121.84,5,At risk,1
18258,463,6,2059.67,5,At risk,1
18286,476,2,1296.43,5,At risk,1
