Customer ID,Recency,Frequency,Monetary,Cluster,Segment
12347,1,8,4921.53,2,Champions
12348,74,5,2019.4,5,At risk
12349,18,4,4428.69,2,Champions
12350,309,1,334.4,4,Lost customer
12351,374,1,300.93,4,Lost customer
12352,35,10,2849.84,1,Loyal customers
12353,203,2,406.76,3,New customer
12354,231,1,1079.4,0,Potential loyalists
12355,213,2,947.61,0,Potential loyalists
12358,1,5,3887.07,2,Champions
12360,51,8,4252.89,2,Champions
12361,286,4,511.25,3,New customer
12363,109,2,552.0,3,New customer
12364,7,4,1313.1,0,Potential loyalists
12365,290,2,641.38,3,New customer
12366,633,1,500.24,4,Lost customer
12367,3,1,168.9,3,New customer
12368,627,1,917.6999999999999,0,Potential loyalists
12369,412,3,1791.15,5,At risk
12370,50,7,4316.56,2,Champions
12371,44,5,4067.38,2,Champions
12372,71,3,1298.04,0,Potential loyalists
12373,310,3,1127.65,0,Potential loyalists
12374,24,4,2989.2200000000003,1,Loyal customers
12375,10,2,457.5,3,New customer
12376,389,2,503.15,4,Lost customer
12377,314,4,3426.32,1,Loyal customers
12379,81,4,1620.22,5,At risk
12381,4,5,1845.31,5,At risk
12383,184,5,1850.56,5,At risk
12384,28,2,585.27,3,New customer
12385,378,1,1938.4,5,At risk
12386,337,2,401.9,4,Lost customer
12387,414,1,143.94,4,Lost customer
12388,15,8,3901.11,2,Champions
12389,402,3,1433.33,5,At risk
12390,79,1,549.84,3,New customer
12391,21,6,2724.84,1,Loyal customers
12392,590,1,234.75000000000003,4,Lost customer
12393,71,6,2399.4500000000003,1,Loyal customers
12394,63,2,1272.48,0,Potential loyalists
12396,673,1,931.43,0,Potential loyalists
12397,35,2,2409.9,1,Loyal customers
12398,45,1,1635.6599999999999,5,At risk
12399,118,7,1962.3,5,At risk
12400,413,1,205.25,4,Lost customer
12401,302,1,84.3,4,Lost customer
12402,322,6,1256.9,0,Potential loyalists
12403,49,2,1019.36,0,Potential loyalists
12404,681,1,63.24,4,Lost customer
12405,148,1,1710.39,5,At risk
12407,49,5,1708.1200000000001,5,At risk
12408,32,8,4340.7699999999995,2,Champions
12410,308,3,1013.71,0,Potential loyalists
12411,409,1,346.9,4,Lost customer
12412,74,6,2596.93,1,Loyal customers
12413,66,4,999.45,0,Potential loyalists
12414,216,6,952.41,0,Potential loyalists
12416,656,1,202.56,4,Lost customer
12418,112,4,2021.2,5,At risk
12419,385,2,503.01,4,Lost customer
12420,63,1,600.39,3,New customer
12421,15,6,1098.6,0,Potential loyalists
12423,0,10,2622.39,1,Loyal customers
12424,162,4,3340.03,1,Loyal customers
12425,77,2,1741.41,5,At risk
12426,194,2,1345.21,0,Potential loyalists
12427,21,3,825.8,0,Potential loyalists
